TSN,TSR,CSN,CSR,PN
"17,698","5,915","3,024","1,093",9049385-7
"19,535",64,"3,346",12,9049385-7
"44,830","26,012","8,659","5,010",9049385-5
"42,360","31,983","7,196","5,571",9049385-5
"20,477","16,295","3,513","2,682",9049385-7
"11,183","11,183","2,204","2,204",9049385-7
"22,938","14,226","3,807","2,594",9049385-5
"30,176","2,882","5,649",511,9049385-5
"33,239","33,239","6,132","6,132",9049385-5
"35,512","10,441","4,878","1,185",9049385-5
"22,302","22,302","3,832","3,832",9049385-7
"47,468","27,414","8,196","4,856",9049385-5
"39,867","7,949","7,017","1,314",9049385-5
"20,718","13,132","3,767","2,572",9049385-7
"45,839","14,569","6,906","1,698",9049385-5
"20,759","20,759","3,363","3,363",9049385-7
"18,686","18,686","3,395","3,395",9049385-7
"28,194","6,720","4,602","1,278",9049385-7
"25,393","16,078","4,232","2,532",9049385-7
"42,368","5,178","5,799","1,014",9049385-5
"48,182","48,182","8,281","8,281",9049385-5
"42,087","13,577","6,863","2,660",9049385-5
"38,389","30,582","5,527","4,119",9049385-5
"19,551","19,551","3,370","3,370",9049385-7
"20,270","20,270","3,300","3,300",9049385-7
"19,754","19,754","3,340","3,340",9049385-7
"40,182","5,857","6,807",968,9049385-5
"32,355","14,203","5,252","2,064",9049385-7
"43,252","4,856","5,714",992,9049385-5
"40,716","23,518","7,031","3,821",9049385-5
"17,508","17,508","3,404","3,404",9049385-7
"41,273","25,378","6,035","3,517",9049385-5
"16,973","16,973","3,278","3,278",9049385-7
"44,514","16,933","5,688","2,570",9049385-5
"38,966","38,966","6,053","6,053",9049385-5
"28,939","28,939","4,081","4,081",9049385-7
"17,364","17,364","3,338","3,338",9049385-7
"45,843","1,014","8,780",121,9049385-5
"52,278","15,603","7,975","2,080",9049385-5
"28,349","28,349","3,675","3,675",9049385-7
"35,143","35,143","5,264","5,264",9049385-5
"33,078","33,078","4,885","4,885",9049385-5
"36,561","15,412","5,922","2,856",9049385-5
"36,438","36,438","5,832","5,832",9049385-7
"33,147","9,294","4,900","1,465",9049385-7
"20,718","13,132","3,767","2,572",9049385-7
"5,044","5,044","1,045","1,045",9049385-7
"34,583","16,695","5,696","3,109",9049385-7
"41,198","40,988","6,339","6,306",9049385-5
"35,798","9,695","6,418","1,904",9049385-5
"48,995","48,995","7,504","7,504",9049385-5
"37,220","37,220","5,000","5,000",9049385-5
"35,732","35,732","5,590","5,590",9049385-5
"43,252","4,856","5,714",992,9049385-5
"18,888","18,888","3,311","3,311",9049385-7
"10,039","10,039","2,063","2,063",9049385-7
"45,114","21,737","6,372","3,259",9049385-5
"19,481","17,531","3,325","2,936",9049385-7
"37,630","37,630","6,099","6,099",9049385-5
"16,557","16,557","2,387","2,387",9049385-7
"40,074","15,737","5,524","2,236",9049385-5
"28,320","28,320","3,301","3,301",9049385-7
"29,248","29,248","4,840","4,840",9049385-7
"40,548","40,548","5,668","5,668",9049385-5
"25,568","25,568","4,269","4,269",9049385-7
"17,671","17,671","3,508","3,508",9049385-7
"48,500","29,425","8,667","5,065",9049385-5
"29,000","18,632","5,560","3,668",9049385-7
"38,960","38,960","6,130","6,130",9049385-5
"37,657","20,027","5,926","3,258",9049385-5
"31,818","16,837","6,308","3,376",9049385-5
"21,350","21,350","3,562","3,562",9049385-7
"42,743","20,600","7,401","3,793",9049385-5
"1,767","1,767",195,195,9049385-7
"1,767","1,767",195,195,9049385-7
"40,222","20,906","5,775","3,243",9049385-5
"29,259","15,122","4,754","2,961",9049385-7
"41,825","1,958","7,350",333,9049385-5
"12,270","12,270","2,481","2,481",9049385-7
"53,240","13,653","8,645","2,727",9049385-5
"20,183","7,321","3,681","1,499",9049385-7
"23,029","23,029","3,492","3,492",9049385-7
"24,029","24,029","3,500","3,500",9049385-7
"24,621","24,621","4,410","4,410",9049385-7
"29,097","12,166","5,508","2,525",9049385-5
"27,321","27,321","4,179","4,179",9049385-5
"28,712","28,512","5,433","5,405",9049385-7
"49,992","20,590","7,527","2,980",9049385-5
"38,627","8,387","5,717","1,447",9049385-5
"21,106","21,106","3,649","3,649",9049385-7
"38,587","38,587","5,456","5,456",9049385-5
"39,039","39,039","6,424","6,424",9049385-7
"16,557",0,"2,387",0,9049385-7
"35,201","35,201","5,634","5,634",9049385-7
"45,444","27,490","8,072","4,694",9049385-5
"47,803","19,518","9,260","3,641",9049385-5
"17,950","17,950","3,643","3,643",9049385-7
"42,526","42,526","6,433","6,433",9049385-5
